0.000000 0.100000 0.050000 0.000000 2.010000 0.100000, 0.050000, 0.039933, -0.398002, 0.074919, -1.097127, 3.566963
0.000728 0.086997 0.060743 0.001495 2.007909 0.086997, 0.060743, 0.034755, -0.398487, 0.077249, -1.097196, 3.566963
0.001452 0.074062 0.071426 0.001894 2.006919 0.074062, 0.071426, 0.029598, -0.398903, 0.079553, -1.097119, 3.566963
0.002168 0.061258 0.082000 0.001216 2.007012 0.061258, 0.082000, 0.024488, -0.399250, 0.081823, -1.096898, 3.566963
0.002875 0.048631 0.092429 -0.000497 2.008146 0.048631, 0.092429, 0.019445, -0.399527, 0.084053, -1.096539, 3.566963
0.003572 0.036212 0.102691 -0.003186 2.010266 0.036212, 0.102691, 0.014482, -0.399738, 0.086239, -1.096050, 3.566963
0.004259 0.024022 0.112769 -0.006784 2.013303 0.024022, 0.112769, 0.009608, -0.399885, 0.088379, -1.095438, 3.566963
0.004936 0.012070 0.122660 -0.011223 2.017188 0.012070, 0.122660, 0.004828, -0.399971, 0.090475, -1.094712, 3.566963
0.005604 0.000352 0.132366 -0.016433 2.021853 0.000352, 0.132366, 0.000141, -0.400000, 0.092527, -1.093877, 3.566963
0.006265 -0.011141 0.141899 -0.022353 2.027233 6.272044, 0.141899, -0.004456, -0.399975, 0.094540, -1.092940, 3.566963
0.006919 -0.022428 0.151274 -0.028927 2.033273 6.260757, 0.151274, -0.008970, -0.399899, 0.096518, -1.091905, 3.566963
0.007568 -0.033528 0.160508 -0.036108 2.039924 6.249657, 0.160508, -0.013409, -0.399775, 0.098465, -1.090778, 3.566963
0.008214 -0.044463 0.169621 -0.043855 2.047144 6.238722, 0.169621, -0.017779, -0.399605, 0.100387, -1.089559, 3.566963
0.008859 -0.055255 0.178631 -0.052135 2.054899 6.227930, 0.178631, -0.022091, -0.399390, 0.102287, -1.088251, 3.566963
0.009503 -0.065927 0.187559 -0.060921 2.063159 6.217259, 0.187559, -0.026352, -0.399131, 0.104171, -1.086855, 3.566963
0.010150 -0.076497 0.196421 -0.070189 2.071900 6.206688, 0.196421, -0.030569, -0.398830, 0.106043, -1.085370, 3.566963
0.010799 -0.086986 0.205235 -0.079920 2.081101 6.196199, 0.205235, -0.034751, -0.398488, 0.107907, -1.083797, 3.566963
0.011453 -0.097411 0.214016 -0.090098 2.090746 6.185774, 0.214016, -0.038903, -0.398104, 0.109767, -1.082134, 3.566963
0.012113 -0.107790 0.222781 -0.100710 2.100819 6.175395, 0.222781, -0.043032, -0.397679, 0.111627, -1.080379, 3.566963
0.012781 -0.118137 0.231542 -0.111744 2.111308 6.165049, 0.231542, -0.047145, -0.397212, 0.113490, -1.078532, 3.566963
0.013457 -0.128466 0.240312 -0.123191 2.122203 6.154719, 0.240312, -0.051245, -0.396704, 0.115359, -1.076588, 3.566963
0.014143 -0.138792 0.249106 -0.135043 2.133495 6.144394, 0.249106, -0.055339, -0.396154, 0.117237, -1.074547, 3.566963
0.014840 -0.149126 0.257933 -0.147294 2.145176 6.134060, 0.257933, -0.059429, -0.395561, 0.119128, -1.072404, 3.566963
